,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controller,Action
abouts,show
admin::config::accounts,create
admin::config::accounts,destroy
admin::config::accounts,edit
admin::config::accounts,index
admin::config::accounts,new
admin::config::accounts,show
admin::config::accounts,update
admin::config::countries,activate
admin::config::countries,destroy
admin::config::countries,edit
admin::config::countries,index
admin::config::countries,update
admin::config::overviews,create
admin::config::overviews,destroy
admin::config::overviews,edit
admin::config::overviews,index
admin::config::overviews,new
admin::config::overviews,show
admin::config::overviews,update
admin::config::shipping_categories,create
admin::config::shipping_categories,destroy
admin::config::shipping_categories,edit
admin::config::shipping_categories,index
admin::config::shipping_categories,new
admin::config::shipping_categories,show
admin::config::shipping_categories,update
admin::config::shipping_methods,create
admin::config::shipping_methods,destroy
admin::config::shipping_methods,edit
admin::config::shipping_methods,index
admin::config::shipping_methods,new
admin::config::shipping_methods,show
admin::config::shipping_methods,update
admin::config::shipping_rates,create
admin::config::shipping_rates,destroy
admin::config::shipping_rates,edit
admin::config::shipping_rates,index
admin::config::shipping_rates,new
admin::config::shipping_rates,show
admin::config::shipping_rates,update
admin::config::shipping_zones,create
admin::config::shipping_zones,destroy
admin::config::shipping_zones,edit
admin::config::shipping_zones,index
admin::config::shipping_zones,new
admin::config::shipping_zones,show
admin::config::shipping_zones,update
admin::config::tax_categories,create
admin::config::tax_categories,destroy
admin::config::tax_categories,edit
admin::config::tax_categories,index
admin::config::tax_categories,new
admin::config::tax_categories,show
admin::config::tax_categories,update
admin::config::tax_rates,create
admin::config::tax_rates,destroy
admin::config::tax_rates,edit
admin::config::tax_rates,index
admin::config::tax_rates,new
admin::config::tax_rates,show
admin::config::tax_rates,update
admin::customer_service::comments,create
admin::customer_service::comments,destroy
admin::customer_service::comments,edit
admin::customer_service::comments,index
admin::customer_service::comments,new
admin::customer_service::comments,show
admin::customer_service::comments,update
admin::customer_service::users,create
admin::customer_service::users,destroy
admin::customer_service::users,edit
admin::customer_service::users,index
admin::customer_service::users,new
admin::customer_service::users,show
admin::customer_service::users,update
admin::document::invoices,create
admin::document::invoices,destroy
admin::document::invoices,edit
admin::document::invoices,index
admin::document::invoices,new
admin::document::invoices,show
admin::document::invoices,update
admin::fulfillment::addresses,edit
admin::fulfillment::addresses,update
admin::fulfillment::comments,create
admin::fulfillment::comments,destroy
admin::fulfillment::comments,edit
admin::fulfillment::comments,index
admin::fulfillment::comments,new
admin::fulfillment::comments,show
admin::fulfillment::comments,update
admin::fulfillment::orders,create
admin::fulfillment::orders,create_shipment
admin::fulfillment::orders,destroy
admin::fulfillment::orders,edit
admin::fulfillment::orders,index
admin::fulfillment::orders,new
admin::fulfillment::orders,show
admin::fulfillment::orders,update
admin::fulfillment::partial::orders,create
admin::fulfillment::partial::orders,destroy
admin::fulfillment::partial::orders,edit
admin::fulfillment::partial::orders,index
admin::fulfillment::partial::orders,new
admin::fulfillment::partial::orders,show
admin::fulfillment::partial::orders,update
admin::fulfillment::partial::shipments,create
admin::fulfillment::partial::shipments,new
admin::fulfillment::partial::shipments,update
admin::fulfillment::shipments,create
admin::fulfillment::shipments,destroy
admin::fulfillment::shipments,edit
admin::fulfillment::shipments,index
admin::fulfillment::shipments,new
admin::fulfillment::shipments,ship
admin::fulfillment::shipments,show
admin::fulfillment::shipments,update
admin::generic::coupons,create
admin::generic::coupons,destroy
admin::generic::coupons,edit
admin::generic::coupons,index
admin::generic::coupons,new
admin::generic::coupons,show
admin::generic::coupons,update
admin::generic::deals,create
admin::generic::deals,destroy
admin::generic::deals,edit
admin::generic::deals,index
admin::generic::deals,new
admin::generic::deals,show
